fs_label	name	idx
1001	ctx-lh-bankssts	1
1002	ctx-lh-caudalanteriorcingulate	2
1003	ctx-lh-caudalmiddlefrontal	3
1005	ctx-lh-cuneus	4
1006	ctx-lh-entorhinal	5
1007	ctx-lh-fusiform	6
1008	ctx-lh-inferiorparietal	7
1009	ctx-lh-inferiortemporal	8
1010	ctx-lh-isthmuscingulate	9
1011	ctx-lh-lateraloccipital	10
1012	ctx-lh-lateralorbitofrontal	11
1013	ctx-lh-lingual	12
1014	ctx-lh-medialorbitofrontal	13
1015	ctx-lh-middletemporal	14
1016	ctx-lh-parahippocampal	15
1017	ctx-lh-paracentral	16
1018	ctx-lh-parsopercularis	17
1019	ctx-lh-parsorbitalis	18
1020	ctx-lh-parstriangularis	19
1021	ctx-lh-pericalcarine	20
1022	ctx-lh-postcentral	21
1023	ctx-lh-posteriorcingulate	22
1024	ctx-lh-precentral	23
1025	ctx-lh-precuneus	24
1026	ctx-lh-rostralanteriorcingulate	25
1027	ctx-lh-rostralmiddlefrontal	26
1028	ctx-lh-superiorfrontal	27
1029	ctx-lh-superiorparietal	28
1030	ctx-lh-superiortemporal	29
1031	ctx-lh-supramarginal	30
1032	ctx-lh-frontalpole	31
1033	ctx-lh-temporalpole	32
1034	ctx-lh-transversetemporal	33
1035	ctx-lh-insula	34
2001	ctx-rh-bankssts	35
2002	ctx-rh-caudalanteriorcingulate	36
2003	ctx-rh-caudalmiddlefrontal	37
2005	ctx-rh-cuneus	38
2006	ctx-rh-entorhinal	39
2007	ctx-rh-fusiform	40
2008	ctx-rh-inferiorparietal	41
2009	ctx-rh-inferiortemporal	42
2010	ctx-rh-isthmuscingulate	43
2011	ctx-rh-lateraloccipital	44
2012	ctx-rh-lateralorbitofrontal	45
2013	ctx-rh-lingual	46
2014	ctx-rh-medialorbitofrontal	47
2015	ctx-rh-middletemporal	48
2016	ctx-rh-parahippocampal	49
2017	ctx-rh-paracentral	50
2018	ctx-rh-parsopercularis	51
2019	ctx-rh-parsorbitalis	52
2020	ctx-rh-parstriangularis	53
2021	ctx-rh-pericalcarine	54
2022	ctx-rh-postcentral	55
2023	ctx-rh-posteriorcingulate	56
2024	ctx-rh-precentral	57
2025	ctx-rh-precuneus	58
2026	ctx-rh-rostralanteriorcingulate	59
2027	ctx-rh-rostralmiddlefrontal	60
2028	ctx-rh-superiorfrontal	61
2029	ctx-rh-superiorparietal	62
2030	ctx-rh-superiortemporal	63
2031	ctx-rh-supramarginal	64
2032	ctx-rh-frontalpole	65
2033	ctx-rh-temporalpole	66
2034	ctx-rh-transversetemporal	67
2035	ctx-rh-insula	68
